,ds,y
1236,1993-09-12,0.0
1237,1993-09-19,0.0
1238,1993-09-26,0.0
1239,1993-10-03,0.0
1240,1993-10-10,0.0
1241,1993-10-17,0.0
1242,1993-10-24,0.0
1243,1993-10-31,0.0
1244,1993-11-07,0.0
1245,1993-11-14,0.0
1246,1993-11-21,0.0
1247,1993-11-28,0.0
1248,1993-12-05,0.0
1249,1993-12-12,0.0
1250,1993-12-19,0.0
1251,1993-12-26,0.0
1252,1994-01-02,0.0
1253,1994-01-09,0.0
1254,1994-01-16,0.0
1255,1994-01-23,0.0
1256,1994-01-30,0.0
1257,1994-02-06,0.0
1258,1994-02-13,0.0
1259,1994-02-20,0.0
1260,1994-02-27,0.0
1261,1994-03-06,0.0
1262,1994-03-13,0.0
1263,1994-03-20,0.0
1264,1994-03-27,0.0
1265,1994-04-03,0.0
1266,1994-04-10,0.0
1267,1994-04-17,0.0
1268,1994-04-24,0.0
1269,1994-05-01,0.0
1270,1994-05-08,0.0
1271,1994-05-15,0.0
1272,1994-05-22,0.0
1273,1994-05-29,0.0
1274,1994-06-05,0.0
1275,1994-06-12,0.0
1276,1994-06-19,0.0
1277,1994-06-26,0.0
1278,1994-07-03,0.0
1279,1994-07-10,0.0
1280,1994-07-17,0.0
1281,1994-07-24,0.0
1282,1994-07-31,0.0
1283,1994-08-07,0.0
1284,1994-08-14,0.0
1285,1994-08-21,0.0
1286,1994-08-28,0.0
1287,1994-09-04,0.0
1288,1994-09-11,0.0
1289,1994-09-18,0.0
1290,1994-09-25,0.0
1291,1994-10-02,0.0
1292,1994-10-09,0.0
1293,1994-10-16,0.0
1294,1994-10-23,0.0
1295,1994-10-30,0.0
1296,1994-11-06,0.0
1297,1994-11-13,0.0
1298,1994-11-20,0.0
1299,1994-11-27,0.0
1300,1994-12-04,0.0
1301,1994-12-11,0.0
1302,1994-12-18,0.0
1303,1994-12-25,0.0
1304,1995-01-01,0.0
1305,1995-01-08,0.0
1306,1995-01-15,0.0
1307,1995-01-22,0.0
1308,1995-01-29,0.0
1309,1995-02-05,0.0
1310,1995-02-12,0.0
1311,1995-02-19,0.0
1312,1995-02-26,0.0
1313,1995-03-05,0.0
1314,1995-03-12,0.0
1315,1995-03-19,0.0
1316,1995-03-26,0.0
1317,1995-04-02,0.0
1318,1995-04-09,0.0
1319,1995-04-16,0.0
1320,1995-04-23,0.0
1321,1995-04-30,0.0
1322,1995-05-07,0.0
1323,1995-05-14,0.0
1324,1995-05-21,0.0
1325,1995-05-28,0.0
1326,1995-06-04,0.0
1327,1995-06-11,0.0
1328,1995-06-18,0.0
1329,1995-06-25,0.0
1330,1995-07-02,0.0
